Zip,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Some other race,Margin of Error; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Percent Margin of Error; RACE - One race - Some other race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races
37013,76983,1951,76983,(X),37684,1570,49,2.2,28057,1760,36.4,1.8,182,151,0.2,0.2,2948,531,3.8,0.7,57,73,0.1,0.1,6046,1005,7.9,1.2,2009,493,2.6
37015,16976,780,16976,(X),16308,747,96.1,1.1,295,114,1.7,0.7,35,36,0.2,0.2,135,73,0.8,0.4,0,95,0,0.2,10,23,0.1,0.1,193,144,1.1
37027,48067,670,48067,(X),43428,848,90.3,1.2,1806,413,3.8,0.9,60,86,0.1,0.2,1846,494,3.8,1,10,18,0,0.1,140,87,0.3,0.2,777,291,1.6
37064,48318,1219,48318,(X),42425,1316,87.8,1.6,3618,486,7.5,1,48,65,0.1,0.1,776,268,1.6,0.5,14,21,0,0.1,794,452,1.6,0.9,643,284,1.3
37072,29279,791,29279,(X),24671,1084,84.3,2.6,2805,584,9.6,2,85,102,0.3,0.3,840,462,2.9,1.6,303,262,1,0.9,141,107,0.5,0.4,434,227,1.5
37076,36970,1196,36970,(X),28445,1115,76.9,2.2,6560,936,17.7,2.3,142,81,0.4,0.2,530,264,1.4,0.7,0,95,0,0.1,624,337,1.7,0.9,669,248,1.8
37080,7609,675,7609,(X),7022,715,92.3,4.9,557,373,7.3,4.9,0,95,0,0.5,30,48,0.4,0.6,0,95,0,0.5,0,95,0,0.5,0,95,0
37086,30917,327,30917,(X),21275,901,68.8,2.7,6625,810,21.4,2.6,15,24,0,0.1,1325,332,4.3,1.1,0,95,0,0.1,718,337,2.3,1.1,959,366,3.1
37115,36839,1284,36839,(X),23301,1084,63.3,2.4,11166,966,30.3,2.3,85,60,0.2,0.2,369,303,1,0.8,0,95,0,0.1,1283,558,3.5,1.5,635,207,1.7
37122,44711,1170,44711,(X),40976,1317,91.6,1.2,2492,463,5.6,1.1,138,92,0.3,0.2,536,142,1.2,0.3,11,19,0,0.1,157,113,0.4,0.3,401,171,0.9
37135,8509,449,8509,(X),7425,457,87.3,4.2,378,158,4.4,1.8,0,95,0,0.4,581,349,6.8,4,0,95,0,0.4,22,27,0.3,0.3,103,66,1.2
37138,21416,993,21416,(X),19178,1033,89.5,2,1452,309,6.8,1.5,18,28,0.1,0.1,206,112,1,0.5,0,95,0,0.2,350,269,1.6,1.3,212,150,1
