Zip,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Some other race,Margin of Error; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Percent Margin of Error; RACE - One race - Some other race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races
37013,81944,2173,81944,(X),37426,1889,45.7,1.9,32145,1723,39.2,1.8,469,188,0.6,0.2,2277,595,2.8,0.7,95,109,0.1,0.1,6938,1370,8.5,1.6,2594,578,3.2,0.7
37015,17400,845,17400,(X),16217,871,93.2,1.4,476,124,2.7,0.7,60,55,0.3,0.3,122,64,0.7,0.4,0,19,0,0.2,363,176,2.1,1,162,79,0.9,0.5
37027,51034,869,51034,(X),45843,1018,89.8,1.2,1651,427,3.2,0.8,42,62,0.1,0.1,2412,464,4.7,0.9,13,17,0,0.1,145,93,0.3,0.2,928,367,1.8,0.7
37064,51393,1158,51393,(X),45130,1351,87.8,1.6,3444,414,6.7,0.8,79,99,0.2,0.2,1131,359,2.2,0.7,8,14,0,0.1,956,578,1.9,1.1,645,245,1.3,0.5
37072,29970,722,29970,(X),25112,1058,83.8,2.6,3442,602,11.5,2,42,44,0.1,0.1,368,207,1.2,0.7,28,52,0.1,0.2,350,272,1.2,0.9,628,273,2.1,0.9
37076,37929,1350,37929,(X),28689,1423,75.6,2.5,6700,850,17.7,2.3,53,48,0.1,0.1,932,347,2.5,0.9,28,47,0.1,0.1,801,338,2.1,0.9,726,294,1.9,0.8
37080,7962,739,7962,(X),7554,689,94.9,2.6,329,210,4.1,2.6,0,17,0,0.4,40,39,0.5,0.5,0,17,0,0.4,0,17,0,0.4,39,38,0.5,0.5
37086,32310,339,32310,(X),23615,1003,73.1,3,6763,806,20.9,2.5,254,361,0.8,1.1,499,326,1.5,1,8,14,0,0.1,335,279,1,0.9,836,324,2.6,1
37115,36959,1513,36959,(X),21544,1157,58.3,2.8,11685,1051,31.6,2.4,42,41,0.1,0.1,262,222,0.7,0.6,0,26,0,0.1,2663,906,7.2,2.3,763,255,2.1,0.7
37122,48107,1122,48107,(X),43804,1288,91.1,1.3,2637,473,5.5,1,126,102,0.3,0.2,687,182,1.4,0.4,0,26,0,0.1,242,139,0.5,0.3,611,230,1.3,0.5
37135,9524,531,9524,(X),8099,520,85,4.1,646,300,6.8,3,0,17,0,0.4,646,278,6.8,2.9,0,17,0,0.4,8,15,0.1,0.2,125,73,1.3,0.8
37138,21909,783,21909,(X),19458,854,88.8,2.1,1650,356,7.5,1.6,35,35,0.2,0.2,307,139,1.4,0.6,0,23,0,0.2,293,257,1.3,1.2,166,94,0.8,0.4
37143,4032,492,4032,(X),3913,484,97,1.8,100,71,2.5,1.7,0,12,0,0.9,5,8,0.1,0.2,0,12,0,0.9,0,12,0,0.9,14,17,0.3,0.4
37189,3019,595,3019,(X),2128,529,70.5,7.7,711,226,23.6,6.7,0,12,0,1.2,62,71,2.1,2.5,27,45,0.9,1.5,11,33,0.4,1.1,80,96,2.6,3.1
37201,2001,255,2001,(X),1083,179,54.1,6.7,781,162,39,6.8,10,19,0.5,0.9,7,11,0.3,0.5,0,12,0,1.7,67,74,3.3,3.5,53,45,2.6,2.3
37203,11525,706,11525,(X),5627,467,48.8,3.2,4643,557,40.3,3.8,0,19,0,0.3,937,292,8.1,2.4,21,34,0.2,0.3,50,61,0.4,0.5,247,118,2.1,1
37204,12869,774,12869,(X),9861,650,76.6,3.2,2373,396,18.4,2.8,33,36,0.3,0.3,310,146,2.4,1.1,0,19,0,0.3,117,105,0.9,0.8,175,95,1.4,0.7
37205,23812,885,23812,(X),22163,961,93.1,1.8,584,291,2.5,1.2,40,39,0.2,0.2,671,277,2.8,1.2,0,23,0,0.1,30,29,0.1,0.1,324,147,1.4,0.6
37206,24931,1197,24931,(X),14232,933,57.1,2.9,9607,963,38.5,3.2,154,137,0.6,0.6,109,59,0.4,0.2,0,23,0,0.1,189,168,0.8,0.7,640,216,2.6,0.9
37207,34306,1447,34306,(X),7430,773,21.7,2.2,24560,1348,71.6,2.5,107,82,0.3,0.2,300,196,0.9,0.6,0,26,0,0.1,1242,611,3.6,1.8,667,269,1.9,0.8
37208,16044,1092,16044,(X),2427,366,15.1,2.3,13113,1052,81.7,2.9,11,20,0.1,0.1,61,45,0.4,0.3,0,19,0,0.2,11,15,0.1,0.1,421,373,2.6,2.3
37209,36000,1860,36000,(X),21021,1500,58.4,3.3,10159,1185,28.2,2.9,133,103,0.4,0.3,2822,584,7.8,1.5,31,31,0.1,0.1,1127,597,3.1,1.6,707,257,2,0.7
37210,15071,1016,15071,(X),8020,772,53.2,4.2,5078,583,33.7,3.4,43,44,0.3,0.3,474,190,3.1,1.2,0,19,0,0.2,1038,523,6.9,3.3,418,196,2.8,1.3
37211,77379,2030,77379,(X),49850,2071,64.4,2.1,13338,946,17.2,1.2,75,62,0.1,0.1,4183,725,5.4,0.9,31,38,0,0.1,8034,1563,10.4,2,1868,490,2.4,0.6
37212,19490,913,19490,(X),14534,859,74.6,2.8,2855,452,14.6,2.3,6,14,0,0.1,1462,317,7.5,1.6,0,19,0,0.2,150,136,0.8,0.7,483,165,2.5,0.8
37213,175,102,175,(X),86,75,49.1,32.6,88,70,50.3,32.4,0,12,0,18,0,12,0,18,0,12,0,18,0,12,0,18,1,2,0.6,1.3
37214,29675,1108,29675,(X),23917,960,80.6,2.4,3592,655,12.1,2,181,193,0.6,0.7,682,260,2.3,0.9,8,21,0,0.1,608,426,2,1.4,687,303,2.3,1
37215,21521,773,21521,(X),20332,766,94.5,1.3,325,135,1.5,0.6,13,17,0.1,0.1,436,197,2,0.9,0,23,0,0.2,130,102,0.6,0.5,285,152,1.3,0.7
37216,18158,684,18158,(X),10556,658,58.1,3.5,6239,674,34.4,3.1,52,52,0.3,0.3,139,103,0.8,0.6,10,17,0.1,0.1,653,323,3.6,1.8,509,185,2.8,1
37217,28930,1345,28930,(X),16399,1199,56.7,3.7,8475,1045,29.3,3.2,0,23,0,0.1,1113,532,3.8,1.8,0,23,0,0.1,1931,570,6.7,1.9,1012,329,3.5,1.1
37218,14985,888,14985,(X),3473,552,23.2,3.2,11181,751,74.6,3.5,11,18,0.1,0.1,115,107,0.8,0.7,0,19,0,0.2,40,42,0.3,0.3,165,158,1.1,1
37219,1151,232,1151,(X),913,210,79.3,9,121,92,10.5,7.4,0,12,0,3,68,52,5.9,4.6,33,44,2.9,3.8,0,12,0,3,16,27,1.4,2.4
37220,5787,373,5787,(X),5491,360,94.9,2.6,106,97,1.8,1.7,10,18,0.2,0.3,115,145,2,2.5,0,17,0,0.6,13,23,0.2,0.4,52,79,0.9,1.4
37221,39125,1389,39125,(X),33677,1389,86.1,2.2,3070,749,7.8,1.8,15,21,0,0.1,1395,416,3.6,1.1,0,26,0,0.1,445,351,1.1,0.9,523,252,1.3,0.6
37228,1330,346,1330,(X),340,156,25.6,11.2,927,337,69.7,13.1,0,12,0,2.6,0,12,0,2.6,0,12,0,2.6,15,21,1.1,1.6,48,54,3.6,4.2
37240,626,163,626,(X),432,171,69,13.5,122,64,19.5,10.6,0,12,0,5.4,51,37,8.1,5.7,0,12,0,5.4,0,12,0,5.4,21,21,3.4,3.8
37243,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
37246,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
