Zip,TotalPopulation,WhitePopulation,BlackorAfricanAmericanPopulation,AmericanIndianandAlaskaNativePopulation,AsianPopulation,NativeHawaiianandOtherPacificIslanderPopulation,OtherPopulation,TwoorMoreRacesPopulation,PopYear
37013,76983,37684,28057,182,2948,57,6046,2009,2011
37015,16976,16308,295,35,135,0,10,193,2011
37027,48067,43428,1806,60,1846,10,140,777,2011
37064,48318,42425,3618,48,776,14,794,643,2011
37072,29279,24671,2805,85,840,303,141,434,2011
37076,36970,28445,6560,142,530,0,624,669,2011
37080,7609,7022,557,0,30,0,0,0,2011
37086,30917,21275,6625,15,1325,0,718,959,2011
37115,36839,23301,11166,85,369,0,1283,635,2011
37122,44711,40976,2492,138,536,11,157,401,2011
37135,8509,7425,378,0,581,0,22,103,2011
37138,21416,19178,1452,18,206,0,350,212,2011
37143,4167,3941,197,0,0,0,7,22,2011
37189,3763,2468,943,22,159,0,36,135,2011
37201,1590,834,669,0,5,0,48,34,2011
37203,10465,5140,4282,0,823,0,37,183,2011
37204,12422,9218,2543,36,290,0,110,225,2011
37205,23263,21145,764,93,847,0,101,313,2011
37206,25772,13827,10742,238,238,0,302,425,2011
37207,32074,6871,23752,102,328,0,625,396,2011
37208,16331,1767,14205,13,110,75,9,152,2011
37209,35179,21297,10321,9,2266,11,615,660,2011
37210,14876,7450,4738,51,780,0,1387,470,2011
37211,73475,49858,13000,223,2621,0,6156,1617,2011
37212,17920,13237,3092,15,1044,0,149,383,2011
37213,208,105,103,0,0,0,0,0,2011
37214,29911,23636,3867,150,1185,12,446,615,2011
37215,21380,20152,568,21,389,0,47,203,2011
37216,18912,10732,6492,31,281,10,1016,350,2011
37217,29848,18561,7691,0,774,0,2222,600,2011
37218,14441,3155,11035,15,86,0,100,50,2011
37219,975,793,64,0,118,0,0,0,2011
37220,5921,5662,118,0,109,0,16,16,2011
37221,38054,33262,2376,40,1682,0,371,323,2011
37228,1366,321,1039,0,0,0,0,6,2011
37240,988,600,189,0,158,0,0,41,2011
37243,0,0,0,0,0,0,0,0,2011
37246,0,0,0,0,0,0,0,0,2011
