ZipCodeDigit,TotalPopulation,WhitePopulation,BlackorAfricanAmericanPopulation,AmericanIndianandAlaskaNativePopulation,AsianPopulation,NativeHawaiianandOtherPacificIslanderPopulation,OtherPopulation,TwoorMoreRacesPopulation,PopYear,YearZipId
37013,81944,37426,32145,469,2277,95,6938,2594,2013,201337013
37015,17400,16217,476,60,122,0,363,162,2013,201337015
37027,51034,45843,1651,42,2412,13,145,928,2013,201337027
37064,51393,45130,3444,79,1131,8,956,645,2013,201337064
37072,29970,25112,3442,42,368,28,350,628,2013,201337072
37076,37929,28689,6700,53,932,28,801,726,2013,201337076
37080,7962,7554,329,0,40,0,0,39,2013,201337080
37086,32310,23615,6763,254,499,8,335,836,2013,201337086
37115,36959,21544,11685,42,262,0,2663,763,2013,201337115
37122,48107,43804,2637,126,687,0,242,611,2013,201337122
37135,9524,8099,646,0,646,0,8,125,2013,201337135
37138,21909,19458,1650,35,307,0,293,166,2013,201337138
37143,4032,3913,100,0,5,0,0,14,2013,201337143
37189,3019,2128,711,0,62,27,11,80,2013,201337189
37201,2001,1083,781,10,7,0,67,53,2013,201337201
37203,11525,5627,4643,0,937,21,50,247,2013,201337203
37204,12869,9861,2373,33,310,0,117,175,2013,201337204
37205,23812,22163,584,40,671,0,30,324,2013,201337205
37206,24931,14232,9607,154,109,0,189,640,2013,201337206
37207,34306,7430,24560,107,300,0,1242,667,2013,201337207
37208,16044,2427,13113,11,61,0,11,421,2013,201337208
37209,36000,21021,10159,133,2822,31,1127,707,2013,201337209
37210,15071,8020,5078,43,474,0,1038,418,2013,201337210
37211,77379,49850,13338,75,4183,31,8034,1868,2013,201337211
37212,19490,14534,2855,6,1462,0,150,483,2013,201337212
37213,175,86,88,0,0,0,0,1,2013,201337213
37214,29675,23917,3592,181,682,8,608,687,2013,201337214
37215,21521,20332,325,13,436,0,130,285,2013,201337215
37216,18158,10556,6239,52,139,10,653,509,2013,201337216
37217,28930,16399,8475,0,1113,0,1931,1012,2013,201337217
37218,14985,3473,11181,11,115,0,40,165,2013,201337218
37219,1151,913,121,0,68,33,0,16,2013,201337219
37220,5787,5491,106,10,115,0,13,52,2013,201337220
37221,39125,33677,3070,15,1395,0,445,523,2013,201337221
37228,1330,340,927,0,0,0,15,48,2013,201337228
37240,626,432,122,0,51,0,0,21,2013,201337240
37243,0,0,0,0,0,0,0,0,2013,201337243
37246,0,0,0,0,0,0,0,0,2013,201337246
